"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"HNF1A-AS1",8.60611438942889e-196,1.80027632366556,0.603,0.175,2.02131808664516e-191,"0","HNF1A-AS1"
"FP671120.4",2.08401434031889e-163,1.3544464607689,0.763,0.351,4.89472448110697e-159,"0","FP671120.4"
"SERPINF2",2.9925281156284e-104,1.99209864399841,0.31,0.079,7.02855078517643e-100,"0","SERPINF2"
"RIPPLY3",2.14824496280305e-101,2.21159970534413,0.295,0.075,5.04558294413553e-97,"0","RIPPLY3"
"FOXP1",5.3225824056341e-84,1.05435196035628,0.629,0.323,1.25011492961128e-79,"0","FOXP1"
"TTC3",1.55470100577369e-75,1.21415129717641,0.607,0.346,3.65152625226067e-71,"0","TTC3"
"STOX2",5.90430374087787e-72,1.15231854785818,0.652,0.405,1.38674381961999e-67,"0","STOX2"
"SLCO5A1",2.47022082947622e-65,1.30585320980646,0.414,0.182,5.80180766219081e-61,"0","SLCO5A1"
"H19",4.16695295312509e-65,0.739841245095313,0.686,0.387,9.78692240100491e-61,"0","H19"
"AC097634.4",2.38067540485792e-61,0.99448052387192,0.534,0.283,5.59149232338979e-57,"0","AC097634.4"
"RABL6",5.41028410940421e-61,0.812027887790674,0.776,0.599,1.27071342877577e-56,"0","RABL6"
"CTSB",5.80890697677936e-61,1.25902767032728,0.468,0.241,1.36433798163617e-56,"0","CTSB"
"AC132217.2",4.3871030852034e-56,0.864443871426592,0.497,0.249,1.03039890162172e-51,"0","AC132217.2"
"IGF2",1.98503541014639e-55,0.655786605389711,0.564,0.296,4.66225266781083e-51,"0","IGF2"
"ZBTB16",4.4753012349759e-53,1.68013512657817,0.23,0.078,1.05111400105879e-48,"0","ZBTB16"
"LAMA1",4.2399550308161e-51,1.14957310432282,0.392,0.188,9.95838238087777e-47,"0","LAMA1"
"MAGI1",3.45389148325923e-47,0.772787178259499,0.666,0.472,8.11215492673096e-43,"0","MAGI1"
"NR2F1",4.48317064567339e-45,1.82370195653917,0.164,0.048,1.05296228954931e-40,"0","NR2F1"
"AUTS2",3.53039015969442e-42,0.772177985105102,0.614,0.418,8.29182736807428e-38,"0","AUTS2"
"GSE1",5.52940199015755e-42,0.814388912733194,0.637,0.467,1.2986906454283e-37,"0","GSE1"
"PCAT14",5.62787108823463e-41,1.70851187118127,0.165,0.052,1.32181808249367e-36,"0","PCAT14"
"DUSP9",6.17641524115875e-39,2.67400902378133,0.075,0.012,1.45065464769096e-34,"0","DUSP9"
"APOA1",4.11488145225305e-38,1.8013133480564,0.146,0.044,9.66462206690675e-34,"0","APOA1"
"GPC3",6.80534673303941e-38,0.937586715270528,0.407,0.224,1.59837178718897e-33,"0","GPC3"
"ZFPM1",6.90329209193565e-37,1.25031543257939,0.298,0.144,1.62137621363293e-32,"0","ZFPM1"
"GATA4",1.33513337339387e-36,1.09065757296615,0.312,0.152,3.13582775409019e-32,"0","GATA4"
"DHRS3",1.3823168068761e-36,1.30195744946813,0.236,0.1,3.2466474843099e-32,"0","DHRS3"
"NRXN3",1.28720342482177e-35,0.836906758329669,0.464,0.28,3.02325468387888e-31,"0","NRXN3"
"IGFBP6",1.52084779404289e-35,2.21252957649517,0.102,0.024,3.57201521386854e-31,"0","IGFBP6"
"SCN7A",1.64049094717925e-35,1.55129533534793,0.177,0.064,3.85302108763991e-31,"0","SCN7A"
"CLIC5",3.72814873751732e-35,1.6522544711408,0.147,0.047,8.75630293980694e-31,"0","CLIC5"
"FTCD",4.94304023869948e-35,1.43654128198278,0.194,0.075,1.16097186086335e-30,"0","FTCD"
"NEDD4L",9.19009319281211e-35,0.85099354716087,0.447,0.269,2.15847718819578e-30,"0","NEDD4L"
"PDE11A",1.58059114782117e-33,1.92465970515929,0.129,0.039,3.71233442888758e-29,"0","PDE11A"
