"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.7667767288255,0.724,0.17,0,"0","PDE1A"
0,2.74942049604505,0.764,0.251,0,"0","SOX6"
0,2.04832881067158,0.957,0.493,0,"0","PLAT"
0,1.5908775411684,0.75,0.303,0,"0","NFIA"
0,1.94955728381475,0.849,0.408,0,"0","COL6A3"
0,2.02862124603966,0.697,0.263,0,"0","NRP1"
0,1.77022152016682,0.877,0.462,0,"0","ZEB2"
0,1.99481380976587,0.728,0.319,0,"0","PCDH9"
0,3.50345151966935,0.462,0.057,0,"0","PLD5"
0,2.09995625860847,0.59,0.186,0,"0","DNM3OS"
0,1.87624904267335,0.559,0.17,0,"0","CRABP1"
0,2.06250246876977,0.636,0.249,0,"0","CELF2"
0,1.78786699955328,0.928,0.542,0,"0","COL5A2"
0,1.4636234309771,0.83,0.453,0,"0","PCDH18"
0,1.58236218986584,0.755,0.384,0,"0","COL5A1"
0,1.54163547088262,0.636,0.271,0,"0","IGFBP7"
0,1.54293132058845,0.65,0.293,0,"0","LGALS1"
0,1.41066229845224,0.735,0.378,0,"0","EDNRA"
0,2.2475855373661,0.541,0.194,0,"0","GUCY1A1"
0,1.40742684490809,0.604,0.259,0,"0","AHNAK"
0,1.169991734718,0.83,0.486,0,"0","EMP3"
0,1.95047497986694,0.53,0.188,0,"0","CRISPLD2"
0,1.57546591721767,0.925,0.585,0,"0","PDGFRA"
0,1.89299501087296,0.514,0.176,0,"0","NKAIN4"
0,1.43073595577981,0.737,0.401,0,"0","OLFML3"
0,1.31164285138904,0.812,0.478,0,"0","TXNIP"
0,1.7065653004366,0.513,0.18,0,"0","LUM"
0,2.22271349401807,0.451,0.119,0,"0","CHRM2"
0,1.57814020145634,0.758,0.426,0,"0","JUNB"
0,1.36154933635301,0.795,0.467,0,"0","JAG1"
0,1.55102298217613,0.605,0.277,0,"0","PDGFRB"
0,1.47940410796598,0.646,0.322,0,"0","NR3C1"
0,2.36685926754632,0.414,0.09,0,"0","OSR1"
0,1.35246817303384,0.688,0.369,0,"0","THY1"
0,1.13216338348001,0.876,0.565,0,"0","HAND2"
0,1.4388271374702,0.668,0.358,0,"0","ADAMTS6"
0,3.35738353130412,0.353,0.045,0,"0","GBP1"
0,1.68123059975075,0.521,0.216,0,"0","TBX2"
0,2.35593388742999,0.401,0.103,0,"0","KCNS3"
0,1.1112709433462,0.803,0.505,0,"0","RUNX1T1"
0,1.61794393395174,0.473,0.177,0,"0","COL14A1"
0,1.07706104019131,0.767,0.472,0,"0","POSTN"
0,1.30596168867519,0.697,0.403,0,"0","SERPINE2"
0,1.48120542826366,0.503,0.211,0,"0","HIC1"
0,1.54867211528963,0.533,0.242,0,"0","HAND2-AS1"
0,2.72262773183815,0.359,0.073,0,"0","GLP2R"
0,1.96619717532728,0.425,0.14,0,"0","FGF7"
0,3.59196713129239,0.32,0.038,0,"0","SPARCL1"
0,1.16474695214511,0.795,0.514,0,"0","EGR1"
0,1.03197942308497,0.779,0.498,0,"0","NFIB"
0,1.44880301462231,0.821,0.54,0,"0","GPC6"
0,1.19070543607079,0.651,0.374,0,"0","CDC42EP5"
0,1.60240118855266,0.997,0.725,0,"0","COL1A2"
0,1.7345673291747,0.406,0.137,0,"0","PTH1R"
0,1.54620111795086,0.436,0.169,0,"0","NGFR"
0,1.35154166547218,0.636,0.37,0,"0","FOSB"
0,0.830225367628825,0.843,0.582,0,"0","COL6A2"
0,1.73953709605375,0.401,0.141,0,"0","ISLR"
0,1.33545511598368,0.717,0.458,0,"0","SVIL"
0,1.13658105509354,0.684,0.429,0,"0","NUDT4"
0,2.02993034120931,0.366,0.114,0,"0","CHST2"
0,0.969100617991828,0.952,0.7,0,"0","PTN"
0,1.39518807299563,0.997,0.762,0,"0","COL1A1"
0,0.950038076344062,0.999,0.767,0,"0","SFRP1"
0,1.23023618030209,0.954,0.722,0,"0","NR2F2"
0,1.2953226048626,0.977,0.749,0,"0","TSHZ2"
0,2.05248685764701,0.325,0.1,0,"0","ELN"
0,0.968652082925452,0.882,0.658,0,"0","NNAT"
0,1.92471302946031,0.316,0.093,0,"0","CXCL14"
0,2.17320660907457,0.301,0.083,0,"0","HSPB6"
0,1.96782542405651,0.313,0.099,0,"0","GABRA2"
0,1.3896377149815,1,0.81,0,"0","COL3A1"
