clone.id,cell.barcode
1,2I+10A+3C
1,19A+10A+2B
2,2I+10A+2A
2,2I+10A+3F
2,4O+10A+2D
2,9P+10A+1A
2,7L+10A+1A
2,5P+10A+1A
2,10H+10A+1A
2,11N+10A+1A
2,2B+10A+1A
2,10M+10A+1A
2,10D+10A+1A
2,11F+10A+1A
2,20P+10A+1A
2,13J+10A+1A
2,24B+10A+1A
2,8P+10A+1A
2,21G+10A+1A
2,18H+10A+1A
2,13C+10A+1A
2,5M+10A+1A
2,15F+10A+1A
2,18N+10A+1A
2,7K+10A+1A
2,11I+10A+1A
2,21P+10A+1A
2,4F+10A+1A
2,17N+10A+1A
2,12D+10A+1A
2,23A+10A+1A
2,14M+10A+1A
2,23B+10A+1A
2,17I+10A+1A
2,23K+10A+1A
2,4B+10A+1A
2,13N+10A+1A
2,14D+10A+1A
2,7M+10A+1A
2,23H+10A+1A
2,8B+10A+1A
2,8F+10A+1A
2,19M+10A+1A
2,2H+10A+1A
2,12P+10A+1A
2,16N+10A+1A
2,24N+10A+1A
2,9N+10A+1A
2,21F+10A+1A
2,1F+10A+1A
2,13K+10A+1A
2,10O+10A+1A
2,14B+10A+1A
2,6J+10A+1A
2,19B+10A+1A
2,16P+10A+1A
2,20M+10A+1A
2,8E+10A+1A
2,3B+10A+1A
2,3K+10A+1A
2,22J+10A+1A
2,14F+10A+1A
2,3M+10A+1A
2,20O+10A+1A
2,16A+10A+1A
2,8O+10A+1A
2,20L+10A+1A
2,5N+10A+1A
2,15L+10A+1A
2,12K+10A+1A
2,1E+10A+1A
2,12F+10A+1A
2,24H+10A+1A
2,6B+10A+1A
2,20K+10A+1A
2,10E+10A+1A
2,11E+10A+1A
2,5I+10A+1A
2,23C+10A+1A
2,19F+10A+1A
2,18C+10A+1A
2,4P+10A+1A
2,21J+10A+1A
2,22A+10A+1A
2,10A+10A+1A
2,14I+10A+1A
2,11L+10A+1A
2,3D+10A+1A
2,15M+10A+1A
2,18G+10A+1A
2,5B+10A+1A
2,8A+10A+1A
2,7N+10A+1A
2,15B+10A+1A
2,22L+10A+1A
2,14P+10A+1A
2,9D+10A+1A
2,12I+10A+1A
2,24O+10A+1A
2,4G+10A+1A
2,14H+10A+1A
2,2D+10A+1A
2,24I+10A+1A
2,15J+10A+1A
2,15N+10A+1A
2,21C+10A+1A
2,21D+10A+1A
2,8N+10A+1A
2,13O+10A+1A
2,2F+10A+1A
